question_id,producer,method,faithfulness,accuracy,completeness,clarity,safety_flag,weighted,reason,judge_model,prompt_tokens,completion_tokens,cost_usd,ts
sgh-opd-001-q003,ft-local-small,finetuned,1,1,1,3,False,1.2,"The document describes a numbered queue displayed on screen with SMS notification when three patients remain, unrelated to bed admission or 'Check Arrival' buttons, all of which the answer invents outright.",claude-sonnet-5,3363,111,0.005877,2026-07-14T19:00:30+00:00
sgh-opd-001-q011,prompt-gemini,prompting,1,1,1,4,False,1.3,"The document states Orthopaedics is held Mon to Sat, 8:00 am to 4:00 pm, but the answer fabricates Tuesdays and Thursdays, a registration window, and a location not mentioned in the source.",claude-sonnet-5,3379,121,0.005976,2026-07-14T19:00:30+00:00
sgh-pi-001-q027,rag-llama3.1-8b,rag,5,5,5,5,False,5.0,"The document states 'A certified copy is issued at a fee of LKR 500 per request,' which matches the candidate's answer exactly.",claude-sonnet-5,3046,94,0.005274,2026-07-14T19:00:30+00:00
sgh-faq-002-q009,ft-local-small,finetuned,1,1,2,5,False,1.6,"The document says walk-in is subject to session availability and describes peak-hour delays and channelling priority, not that it is open 24/7; the answer invents this claim and omits the caveats and waiting-time details entirely.",claude-sonnet-5,3483,115,0.006087,2026-07-14T19:00:30+00:00
sgh-su-001-q037,ft-llama3.1-8b,finetuned,1,1,3,5,False,1.8,"The document states Caesarean Section typical stay is 3 to 4 days, but the answer states 4 to 5 days, contradicting the source.",claude-sonnet-5,3142,93,0.0054105,2026-07-14T19:00:30+00:00
sgh-faq-003-q003,ft-llama3.1-8b,finetuned,1,1,2,5,True,1.6,"The document explicitly says patients should NOT stop any medication without explicit instruction from the surgeon or pre-anaesthesia team, but the candidate fabricates a specific instruction to stop aspirin/NSAIDs seven days prior and invents a 'continue' list not present in the document, contradicting the source and risking harm if followed without medical guidance.",claude-sonnet-5,3830,162,0.00696,2026-07-14T19:00:30+00:00
sgh-pi-001-q027,prompt-gemini,prompting,1,1,2,5,False,1.6,"The document states the certified copy fee is LKR 500 and records take up to two or five working days depending on age, but the answer fabricates a fee of LKR 2,000, a 3-5 day processing time, and a third-party authorization letter requirement not mentioned in the source.",claude-sonnet-5,3163,133,0.005742,2026-07-14T19:00:30+00:00
sgh-pi-001-q027,ft-local-large,finetuned,1,1,3,5,False,1.8,"The document states a certified copy fee of LKR 500 per request, not Rs 1,000 as claimed by the answer.",claude-sonnet-5,3013,90,0.0051945,2026-07-14T19:00:30+00:00
sgh-ip-001-q026,ft-llama3.1-8b,finetuned,5,5,4,5,False,4.8,"The document states 'Settlement of any outstanding balance is required before the discharge letter is released,' which the answer correctly conveys, though it slightly loosely paraphrases 'discharge letter' as 'discharge process.'",claude-sonnet-5,3062,120,0.005493,2026-07-14T19:00:30+00:00
sgh-ip-001-q007,rag-llama3.1-8b,rag,5,5,5,5,False,5.0,"The document lists General Ward, 4-bed inclusions as 'Shared bathroom; standard meals; nursing call bell', which matches the candidate answer exactly.",claude-sonnet-5,3110,102,0.00543,2026-07-14T19:00:30+00:00
sgh-er-001-q015,prompt-llama3.1-8b,prompting,1,1,2,4,True,1.5,"The document says non-urgent concerns should go to OPD or call the Nurse Advice Line at Ext. 1199, but the answer invents OPD hours, satellite clinics/polyclinics not mentioned in the document, and gives a fabricated emergency number (011-555-1234) instead of the correct +94 11 2 456 911, which could delay urgent care.",claude-sonnet-5,3265,165,0.006135,2026-07-14T19:00:30+00:00
sgh-faq-003-q017,rag-llama3.1-8b,rag,5,5,5,5,False,5.0,The answer accurately quotes and correctly summarizes the fasting and clear water policy exactly as stated in the source document under 'Can I eat or drink before surgery?'.,claude-sonnet-5,3827,107,0.006543,2026-07-14T19:00:30+00:00
sgh-er-001-q015,ft-local-small,finetuned,1,1,1,4,True,1.3,"The document says non-urgent concerns should go to OPD or the Nurse Advice Line at Ext. 1199, not a 'general surgery clinic'; it also gives no such clinic hours and cites entirely fabricated emergency phone numbers (+950 631 800/801) that contradict the actual number +94 11 2 456 911, which could dangerously delay emergency contact.",claude-sonnet-5,3154,170,0.006006,2026-07-14T19:00:30+00:00
sgh-lab-001-q007,rag-gpt,rag,5,3,1,5,False,3.6,"The document explicitly lists Hormone Profile examples as TSH, T3, T4, cortisol, testosterone, and oestrogen, but the answer incorrectly claims this information is not present.",claude-sonnet-5,3210,110,0.00564,2026-07-14T19:00:30+00:00
sgh-faq-006-q011,ft-local-small,finetuned,1,1,1,3,False,1.2,"The document states that at discharge patients receive an itemised bill, investigation reports, discharge summary, pharmacy receipts, and fee notes, none of which matches the candidate's fabricated claim about '12 months prior medical records'.",claude-sonnet-5,4069,122,0.0070185,2026-07-14T19:00:30+00:00
sgh-faq-006-q010,ft-local-medium,finetuned,1,1,1,4,False,1.3,"The document says to raise billing queries at the Billing Desk (Block B, Ground Floor) before discharge, with resolution timelines of same-day or 24 hours and refunds within five working days, but the answer invents a phone number, email, three-day deadline, and a fictitious 'Medical Adjudication Committee' not mentioned anywhere in the source.",claude-sonnet-5,4133,162,0.0074145,2026-07-14T19:00:30+00:00
sgh-pi-001-q037,ft-local-medium,finetuned,1,1,2,5,False,1.6,"The document states walk-in registration is at the OPD Registration Desk, Ground Floor, Block A, but the answer invents 'Reception Desk' without specifying Block A.",claude-sonnet-5,3025,104,0.0053175,2026-07-14T19:00:30+00:00
sgh-opd-001-q003,ft-local-large,finetuned,1,1,1,4,False,1.3,"The document describes a numbered channelling system with displayed queue numbers and SMS alerts, not an Emergency/Urgent/Non-Urgent triage queue system as the answer fabricates.",claude-sonnet-5,3341,110,0.0058365,2026-07-14T19:00:30+00:00
sgh-faq-002-q002,prompt-gemini,prompting,1,1,2,3,False,1.4,"The document defines channelling as a numbered queue slot system with SMS alerts, but the answer invents unrelated details (phone number, eChannelling/Doc990 platforms, 30-minute arrival rule) not found in the source, contradicting the 20-minute arrival guidance and fabricating booking channels.",claude-sonnet-5,3860,147,0.0068925,2026-07-14T19:00:30+00:00
sgh-opd-001-q013,ft-local-small,finetuned,2,1,3,5,False,2.2,"The document states the estimated wait for booked Orthopaedics appointments is 20 to 45 minutes, not 20-30 minutes as the answer states.",claude-sonnet-5,3241,101,0.005619,2026-07-14T19:00:30+00:00
sgh-faq-006-q005,ft-local-large,finetuned,1,1,2,5,False,1.6,"The document says the Billing Desk (Ext. 1210) provides written cost estimates, with no mention of a pre-admission clinic, 24-hour requirement, or a pre-admission nurse, all of which the answer invents.",claude-sonnet-5,4085,120,0.0070275,2026-07-14T19:00:30+00:00
sgh-ip-001-q013,ft-local-large,finetuned,1,1,2,4,False,1.5,"The document lists Premium Suite inclusions as attached bathroom with bathtub, kitchenette, sofa bed, premium meal menu, complimentary Wi-Fi, and dedicated ward nurse, but the answer invents unsupported items like flat-screen TV, in-room safe, air conditioning, and pillow/mattress choices while omitting kitchenette, sofa bed, and premium meal menu.",claude-sonnet-5,3114,183,0.0060435,2026-07-14T19:00:30+00:00
sgh-lab-001-q006,prompt-llama3.1-8b,prompting,1,1,1,3,False,1.2,"The document states Hormone Profile turnaround is 4 to 6 hours, but the answer fabricates a completely different set of tests and times (including a fictitious 48-hour Hormone Profile turnaround) not found anywhere in the source.",claude-sonnet-5,3419,125,0.006066,2026-07-14T19:00:30+00:00
sgh-ph-001-q007,ft-local-medium,finetuned,1,1,2,5,True,1.6,"The document states the Main Pharmacy is on Block B Ground Floor and open 24 hours, 7 days a week, but the answer fabricates a different location (1st floor of main building) and incorrect hours (8:00 AM to 6:30 PM), which could mislead a patient seeking round-the-clock medication access.",claude-sonnet-5,2912,154,0.005523,2026-07-14T19:00:30+00:00
sgh-su-001-q051,rag-gpt,rag,5,5,5,5,False,5.0,"The document states the pre-anaesthesia assessment is required at least two days before surgery, matching the candidate's answer exactly.",claude-sonnet-5,3177,92,0.0054555,2026-07-14T19:00:30+00:00
